run_id,dataset,resolution,normalization,seed,Δ accuracy (pp),95% CI (pp),McNemar p,member families,BH-adjusted p (per family)
A-bloodmnist-28px-batchnorm-policy-none-s0,bloodmnist,28px,batchnorm,0,-30.11,"[-31.86, -28.35]",6.2e-186,"H1, H2, H3",H1=7.08e-186; H2=6.88e-186; H3=1.24e-185
A-bloodmnist-28px-batchnorm-policy-none-s1,bloodmnist,28px,batchnorm,1,-33.50,"[-35.28, -31.69]",3.3e-209,"H1, H2, H3",H1=4.17e-209; H2=3.96e-209; H3=9.9e-209
A-bloodmnist-28px-batchnorm-policy-none-s2,bloodmnist,28px,batchnorm,2,-49.23,"[-51.04, -47.44]",0,"H1, H2, H3",H1=0; H2=0; H3=0
A-bloodmnist-28px-groupnorm-policy-none-s0,bloodmnist,28px,groupnorm,0,-20.70,"[-22.22, -19.15]",1.12e-126,"H1, H2",H1=1.12e-126; H2=1.12e-126
A-bloodmnist-28px-groupnorm-policy-none-s1,bloodmnist,28px,groupnorm,1,-23.68,"[-25.29, -22.07]",5.83e-147,"H1, H2",H1=6.08e-147; H2=6.03e-147
A-bloodmnist-28px-groupnorm-policy-none-s2,bloodmnist,28px,groupnorm,2,-25.58,"[-27.21, -23.94]",3.49e-159,"H1, H2",H1=3.81e-159; H2=3.74e-159
A-bloodmnist-64px-batchnorm-policy-none-s0,bloodmnist,64px,batchnorm,0,-51.51,"[-53.29, -49.72]",0,"H1, H2",H1=0; H2=0
A-bloodmnist-64px-batchnorm-policy-none-s1,bloodmnist,64px,batchnorm,1,-66.09,"[-67.73, -64.45]",0,"H1, H2",H1=0; H2=0
A-bloodmnist-64px-batchnorm-policy-none-s2,bloodmnist,64px,batchnorm,2,-49.11,"[-50.83, -47.35]",0,"H1, H2",H1=0; H2=0
A-bloodmnist-64px-groupnorm-policy-none-s0,bloodmnist,64px,groupnorm,0,-47.18,"[-48.93, -45.51]",0,"H1, H2",H1=0; H2=0
A-bloodmnist-64px-groupnorm-policy-none-s1,bloodmnist,64px,groupnorm,1,-39.05,"[-40.75, -37.30]",3.8e-274,"H1, H2",H1=5.06e-274; H2=4.95e-274
A-bloodmnist-64px-groupnorm-policy-none-s2,bloodmnist,64px,groupnorm,2,-57.00,"[-58.70, -55.33]",0,"H1, H2",H1=0; H2=0
D-bloodmnist-128px-batchnorm-policy-none-s0,bloodmnist,128px,batchnorm,0,-59.75,"[-61.44, -57.99]",0,H2,H2=0
D-bloodmnist-128px-batchnorm-policy-none-s1,bloodmnist,128px,batchnorm,1,-51.18,"[-53.00, -49.37]",0,H2,H2=0
D-bloodmnist-128px-batchnorm-policy-none-s2,bloodmnist,128px,batchnorm,2,-63.23,"[-64.89, -61.59]",0,H2,H2=0
A-pathmnist-28px-batchnorm-policy-none-s0,pathmnist,28px,batchnorm,0,-18.76,"[-19.90, -17.65]",2.28e-204,"H1, H2, H3",H1=2.74e-204; H2=2.63e-204; H3=5.47e-204
A-pathmnist-28px-batchnorm-policy-none-s1,pathmnist,28px,batchnorm,1,-40.22,"[-41.53, -38.89]",0,"H1, H2, H3",H1=0; H2=0; H3=0
A-pathmnist-28px-batchnorm-policy-none-s2,pathmnist,28px,batchnorm,2,-42.27,"[-43.43, -41.10]",0,"H1, H2, H3",H1=0; H2=0; H3=0
A-pathmnist-28px-groupnorm-policy-none-s0,pathmnist,28px,groupnorm,0,-44.23,"[-45.46, -43.02]",0,"H1, H2",H1=0; H2=0
A-pathmnist-28px-groupnorm-policy-none-s1,pathmnist,28px,groupnorm,1,-47.17,"[-48.40, -45.93]",0,"H1, H2",H1=0; H2=0
A-pathmnist-28px-groupnorm-policy-none-s2,pathmnist,28px,groupnorm,2,-48.72,"[-49.90, -47.51]",0,"H1, H2",H1=0; H2=0
A-pathmnist-64px-batchnorm-policy-none-s0,pathmnist,64px,batchnorm,0,-37.35,"[-38.51, -36.20]",0,"H1, H2",H1=0; H2=0
A-pathmnist-64px-batchnorm-policy-none-s1,pathmnist,64px,batchnorm,1,-38.96,"[-40.21, -37.72]",0,"H1, H2",H1=0; H2=0
A-pathmnist-64px-batchnorm-policy-none-s2,pathmnist,64px,batchnorm,2,-39.35,"[-40.49, -38.22]",0,"H1, H2",H1=0; H2=0
A-pathmnist-64px-groupnorm-policy-none-s0,pathmnist,64px,groupnorm,0,-44.37,"[-45.60, -43.13]",0,"H1, H2",H1=0; H2=0
A-pathmnist-64px-groupnorm-policy-none-s1,pathmnist,64px,groupnorm,1,-51.92,"[-53.13, -50.72]",0,"H1, H2",H1=0; H2=0
A-pathmnist-64px-groupnorm-policy-none-s2,pathmnist,64px,groupnorm,2,-48.83,"[-50.07, -47.62]",0,"H1, H2",H1=0; H2=0
D-pathmnist-128px-batchnorm-policy-none-s0,pathmnist,128px,batchnorm,0,-27.51,"[-28.91, -26.11]",7.14e-267,H2,H2=8.92e-267
D-pathmnist-128px-batchnorm-policy-none-s1,pathmnist,128px,batchnorm,1,-41.69,"[-42.90, -40.50]",0,H2,H2=0
D-pathmnist-128px-batchnorm-policy-none-s2,pathmnist,128px,batchnorm,2,-38.70,"[-39.90, -37.49]",0,H2,H2=0
