pair_id,condition A,condition B,DiD (pp),95% CI (pp)
H1-bloodmnist-28px-s0,A-bloodmnist-28px-batchnorm-policy-none-s0,A-bloodmnist-28px-groupnorm-policy-none-s0,9.41,"[7.83, 10.99]"
H1-bloodmnist-28px-s1,A-bloodmnist-28px-batchnorm-policy-none-s1,A-bloodmnist-28px-groupnorm-policy-none-s1,9.82,"[8.10, 11.58]"
H1-bloodmnist-28px-s2,A-bloodmnist-28px-batchnorm-policy-none-s2,A-bloodmnist-28px-groupnorm-policy-none-s2,23.65,"[22.04, 25.23]"
H1-bloodmnist-64px-s0,A-bloodmnist-64px-batchnorm-policy-none-s0,A-bloodmnist-64px-groupnorm-policy-none-s0,4.33,"[2.22, 6.34]"
H1-bloodmnist-64px-s1,A-bloodmnist-64px-batchnorm-policy-none-s1,A-bloodmnist-64px-groupnorm-policy-none-s1,27.04,"[24.96, 29.11]"
H1-bloodmnist-64px-s2,A-bloodmnist-64px-batchnorm-policy-none-s2,A-bloodmnist-64px-groupnorm-policy-none-s2,-7.89,"[-9.53, -6.23]"
H1-pathmnist-28px-s0,A-pathmnist-28px-batchnorm-policy-none-s0,A-pathmnist-28px-groupnorm-policy-none-s0,-25.47,"[-26.85, -24.09]"
H1-pathmnist-28px-s1,A-pathmnist-28px-batchnorm-policy-none-s1,A-pathmnist-28px-groupnorm-policy-none-s1,-6.95,"[-8.04, -5.85]"
H1-pathmnist-28px-s2,A-pathmnist-28px-batchnorm-policy-none-s2,A-pathmnist-28px-groupnorm-policy-none-s2,-6.45,"[-7.40, -5.49]"
H1-pathmnist-64px-s0,A-pathmnist-64px-batchnorm-policy-none-s0,A-pathmnist-64px-groupnorm-policy-none-s0,-7.02,"[-8.38, -5.65]"
H1-pathmnist-64px-s1,A-pathmnist-64px-batchnorm-policy-none-s1,A-pathmnist-64px-groupnorm-policy-none-s1,-12.97,"[-14.46, -11.49]"
H1-pathmnist-64px-s2,A-pathmnist-64px-batchnorm-policy-none-s2,A-pathmnist-64px-groupnorm-policy-none-s2,-9.48,"[-11.00, -7.90]"
