pair_id,condition A,condition B,DiD (pp),95% CI (pp)
H2-bloodmnist-batchnorm-s0,A-bloodmnist-28px-batchnorm-policy-none-s0,A-bloodmnist-64px-batchnorm-policy-none-s0,-21.40,"[-23.53, -19.26]"
H2-bloodmnist-batchnorm-s1,A-bloodmnist-28px-batchnorm-policy-none-s1,A-bloodmnist-64px-batchnorm-policy-none-s1,-32.59,"[-34.93, -30.23]"
H2-bloodmnist-batchnorm-s2,A-bloodmnist-28px-batchnorm-policy-none-s2,A-bloodmnist-64px-batchnorm-policy-none-s2,0.12,"[-1.81, 2.05]"
H2-bloodmnist-groupnorm-s0,A-bloodmnist-28px-groupnorm-policy-none-s0,A-bloodmnist-64px-groupnorm-policy-none-s0,-26.48,"[-28.35, -24.61]"
H2-bloodmnist-groupnorm-s1,A-bloodmnist-28px-groupnorm-policy-none-s1,A-bloodmnist-64px-groupnorm-policy-none-s1,-15.38,"[-17.04, -13.74]"
H2-bloodmnist-groupnorm-s2,A-bloodmnist-28px-groupnorm-policy-none-s2,A-bloodmnist-64px-groupnorm-policy-none-s2,-31.42,"[-33.35, -29.52]"
H2-pathmnist-batchnorm-s0,A-pathmnist-28px-batchnorm-policy-none-s0,A-pathmnist-64px-batchnorm-policy-none-s0,-18.59,"[-19.99, -17.16]"
H2-pathmnist-batchnorm-s1,A-pathmnist-28px-batchnorm-policy-none-s1,A-pathmnist-64px-batchnorm-policy-none-s1,1.27,"[-0.39, 2.86]"
H2-pathmnist-batchnorm-s2,A-pathmnist-28px-batchnorm-policy-none-s2,A-pathmnist-64px-batchnorm-policy-none-s2,2.92,"[1.38, 4.55]"
H2-pathmnist-groupnorm-s0,A-pathmnist-28px-groupnorm-policy-none-s0,A-pathmnist-64px-groupnorm-policy-none-s0,-0.14,"[-1.43, 1.14]"
H2-pathmnist-groupnorm-s1,A-pathmnist-28px-groupnorm-policy-none-s1,A-pathmnist-64px-groupnorm-policy-none-s1,-4.75,"[-5.72, -3.75]"
H2-pathmnist-groupnorm-s2,A-pathmnist-28px-groupnorm-policy-none-s2,A-pathmnist-64px-groupnorm-policy-none-s2,-0.11,"[-1.24, 0.99]"
